X (Volt)	Y (Volt)
-1.028907E-1	-7.421874E-3
-5.601565E-2	-5.078124E-3
-1.031252E-2	-3.125000E-3
3.480468E-2	-1.171875E-3
7.933593E-2	1.562500E-3
1.279688E-1	4.296875E-3
1.777735E-1	6.640624E-3
2.281641E-1	8.984374E-3
2.767969E-1	1.132812E-2
3.230860E-1	1.328125E-2
3.658594E-1	1.523437E-2
4.098047E-1	1.718750E-2
4.531641E-1	1.953125E-2
4.953516E-1	2.148437E-2
5.328516E-1	2.304687E-2
5.685938E-1	2.500000E-2
6.060938E-1	2.656250E-2
6.412501E-1	2.812500E-2
6.740626E-1	2.968750E-2
7.033595E-1	3.125000E-2
7.291407E-1	3.203125E-2
7.478907E-1	3.281250E-2
7.625392E-1	3.359375E-2
7.742579E-1	3.398437E-2
7.842189E-1	3.437500E-2
7.924220E-1	3.476562E-2
7.976954E-1	3.476562E-2
8.017970E-1	3.515625E-2
8.047267E-1	3.515625E-2
8.058986E-1	3.515625E-2
8.053126E-1	3.476562E-2
7.994532E-1	3.437500E-2
7.877345E-1	3.398437E-2
7.701564E-1	3.320312E-2
7.490626E-1	3.203125E-2
7.244532E-1	3.085937E-2
6.969142E-1	2.929687E-2
6.687892E-1	2.773437E-2
6.371485E-1	2.617187E-2
6.025782E-1	2.460937E-2
5.662501E-1	2.265625E-2
5.293360E-1	2.070312E-2
4.900782E-1	1.875000E-2
4.490626E-1	1.679687E-2
4.039454E-1	1.484375E-2
3.523829E-1	1.250000E-2
2.978907E-1	1.015625E-2
2.457422E-1	7.812499E-3
1.930078E-1	5.078124E-3
1.432031E-1	2.734375E-3
9.515625E-2	3.906250E-4
5.062499E-2	-1.562500E-3
3.164046E-3	-3.515625E-3
-4.136721E-2	-5.859374E-3
-8.941409E-2	-8.593749E-3
-1.386329E-1	-1.093750E-2
-1.878516E-1	-1.328125E-2
-2.388282E-1	-1.562500E-2
-2.886329E-1	-1.796875E-2
-3.349219E-1	-2.031250E-2
-3.776954E-1	-2.226562E-2
