X (Volt)	Y (Volt)
8.929687E-2	0.000000E+0
1.238672E-1	2.304687E-2
1.613672E-1	4.765625E-2
2.047266E-1	7.226562E-2
2.527735E-1	9.687499E-2
3.096094E-1	1.203125E-1
3.758204E-1	1.441406E-1
4.414454E-1	1.652344E-1
5.041407E-1	1.851562E-1
5.621485E-1	2.011719E-1
6.148829E-1	2.156250E-1
6.611720E-1	2.273437E-1
7.004298E-1	2.371094E-1
7.314845E-1	2.457031E-1
7.560939E-1	2.523437E-1
7.760157E-1	2.574218E-1
7.924220E-1	2.613281E-1
8.053126E-1	2.644531E-1
8.146876E-1	2.671875E-1
8.217189E-1	2.691406E-1
8.275782E-1	2.703125E-1
8.310939E-1	2.714843E-1
8.305079E-1	2.722656E-1
8.246486E-1	2.718750E-1
8.135157E-1	2.707031E-1
7.971095E-1	2.691406E-1
7.760157E-1	2.667968E-1
7.514064E-1	2.636718E-1
7.250392E-1	2.605468E-1
6.951564E-1	2.566406E-1
6.635157E-1	2.523437E-1
6.283595E-1	2.476562E-1
5.914454E-1	2.417969E-1
5.533595E-1	2.359375E-1
5.141016E-1	2.296875E-1
4.719141E-1	2.230469E-1
4.238672E-1	2.156250E-1
3.734766E-1	2.058594E-1
3.219141E-1	1.960937E-1
2.732813E-1	1.851562E-1
2.281641E-1	1.722656E-1
1.848047E-1	1.585937E-1
1.443750E-1	1.449219E-1
1.086328E-1	1.296875E-1
7.992187E-2	1.136719E-1
5.531249E-2	9.726562E-2
2.835936E-2	7.890624E-2
-9.375168E-4	5.937499E-2
-3.199221E-2	3.789062E-2
-6.539065E-2	1.484375E-2
-9.937503E-2	-7.421874E-3
-1.345313E-1	-3.046875E-2
-1.726172E-1	-5.468749E-2
-2.159766E-1	-8.007812E-2
-2.640235E-1	-1.050781E-1
-3.214454E-1	-1.296875E-1
-3.847266E-1	-1.519531E-1
-4.485938E-1	-1.734375E-1
-5.107032E-1	-1.921875E-1
-5.687111E-1	-2.085937E-1
-6.220314E-1	-2.230469E-1
-6.683204E-1	-2.355469E-1
-7.046486E-1	-2.460937E-1
-7.357033E-1	-2.542968E-1
-7.591408E-1	-2.605468E-1
-7.784767E-1	-2.656250E-1
-7.954689E-1	-2.695312E-1
-8.083595E-1	-2.730468E-1
-8.171486E-1	-2.757812E-1
-8.247658E-1	-2.777343E-1
-8.306252E-1	-2.789062E-1
-8.347267E-1	-2.800781E-1
-8.347267E-1	-2.804687E-1
-8.282814E-1	-2.804687E-1
-8.165627E-1	-2.792968E-1
-8.007423E-1	-2.777343E-1
-7.790626E-1	-2.753906E-1
-7.550392E-1	-2.722656E-1
-7.280861E-1	-2.687500E-1
-6.987892E-1	-2.648437E-1
-6.677345E-1	-2.605468E-1
-6.325782E-1	-2.554687E-1
-5.944923E-1	-2.500000E-1
-5.552345E-1	-2.437500E-1
-5.153907E-1	-2.375000E-1
-4.737892E-1	-2.300781E-1
-4.257423E-1	-2.218750E-1
-3.771095E-1	-2.125000E-1
-3.273048E-1	-2.019531E-1
-2.786719E-1	-1.906250E-1
-2.317969E-1	-1.781250E-1
-1.884375E-1	-1.644531E-1
-1.497657E-1	-1.503906E-1
-1.151953E-1	-1.359375E-1
-8.648441E-2	-1.203125E-1
-5.953128E-2	-1.031250E-1
-3.257815E-2	-8.437499E-2
-3.281267E-3	-6.406249E-2
2.835936E-2	-4.218750E-2
6.058593E-2	-1.992187E-2
9.339844E-2	2.734375E-3
1.285547E-1	2.617187E-2
1.672266E-1	5.078124E-2
2.105860E-1	7.499999E-2
2.586328E-1	9.999999E-2
3.178125E-1	1.234375E-1
3.840235E-1	1.468750E-1
4.496485E-1	1.679687E-1
5.123438E-1	1.875000E-1
5.691798E-1	2.031250E-1
6.207423E-1	2.175781E-1
6.664454E-1	2.289062E-1
7.045314E-1	2.386719E-1
7.350001E-1	2.468750E-1
7.590236E-1	2.531250E-1
7.783595E-1	2.578125E-1
7.947657E-1	2.621093E-1
8.070704E-1	2.652343E-1
8.164454E-1	2.675781E-1
8.234767E-1	2.695312E-1
8.287501E-1	2.707031E-1
8.316798E-1	2.718750E-1
8.310939E-1	2.722656E-1
8.240626E-1	2.718750E-1
8.129298E-1	2.707031E-1
7.959376E-1	2.691406E-1
7.736720E-1	2.664062E-1
7.490626E-1	2.636718E-1
7.215235E-1	2.601562E-1
6.910548E-1	2.562500E-1
6.582423E-1	2.515625E-1
6.242579E-1	2.468750E-1
5.861720E-1	2.410156E-1
5.475001E-1	2.351562E-1
5.088282E-1	2.289062E-1
4.660548E-1	2.222656E-1
4.180079E-1	2.140625E-1
3.670313E-1	2.042969E-1
3.160547E-1	1.949219E-1
2.680078E-1	1.832031E-1
2.223047E-1	1.703125E-1
1.783594E-1	1.570312E-1
1.391016E-1	1.429687E-1
1.045313E-1	1.277344E-1
7.582031E-2	1.113281E-1
5.121093E-2	9.531249E-2
2.484374E-2	7.656249E-2
-4.453142E-3	5.703124E-2
-3.550784E-2	3.515625E-2
-6.949222E-2	1.250000E-2
-1.034766E-1	-1.015625E-2
-1.392188E-1	-3.359375E-2
-1.778907E-1	-5.781249E-2
-2.218360E-1	-8.320312E-2
-2.716407E-1	-1.082031E-1
-3.296485E-1	-1.324219E-1
-3.929298E-1	-1.546875E-1
-4.573829E-1	-1.757812E-1
-5.183204E-1	-1.945312E-1
-5.763282E-1	-2.105469E-1
-6.290626E-1	-2.250000E-1
-6.735939E-1	-2.371094E-1
-7.087501E-1	-2.468750E-1
-7.386330E-1	-2.550781E-1
-7.626564E-1	-2.613281E-1
-7.814064E-1	-2.660156E-1
-7.966408E-1	-2.703125E-1
-8.089455E-1	-2.734375E-1
-8.183205E-1	-2.757812E-1
-8.259377E-1	-2.777343E-1
-8.317970E-1	-2.792968E-1
-8.347267E-1	-2.800781E-1
-8.341408E-1	-2.804687E-1
-8.271095E-1	-2.804687E-1
-8.148048E-1	-2.792968E-1
-7.983986E-1	-2.773437E-1
-7.755470E-1	-2.750000E-1
-7.515236E-1	-2.718750E-1
-7.251564E-1	-2.683593E-1
-6.952736E-1	-2.644531E-1
-6.642189E-1	-2.597656E-1
-6.284767E-1	-2.550781E-1
-5.909767E-1	-2.492187E-1
-5.517189E-1	-2.433594E-1
-5.107032E-1	-2.363281E-1
-4.685157E-1	-2.292969E-1
-4.198829E-1	-2.207031E-1
-3.706641E-1	-2.109375E-1
-3.208594E-1	-2.003906E-1
-2.728126E-1	-1.890625E-1
-2.265235E-1	-1.761719E-1
-1.825782E-1	-1.628906E-1
-1.444922E-1	-1.484375E-1
-1.116797E-1	-1.339844E-1
-8.355472E-2	-1.179687E-1
-5.660159E-2	-1.007812E-1
-2.906252E-2	-8.203124E-2
-3.515792E-4	-6.093749E-2
3.187499E-2	-3.906250E-2
6.468749E-2	-1.679687E-2
9.808594E-2	5.468749E-3
1.332422E-1	2.929687E-2
1.713281E-1	5.351562E-2
2.158594E-1	7.812499E-2
