X (Volt)	Y (Volt)
-7.283984E-2	-5.468749E-3
-2.016406E-2	-3.515625E-3
2.967969E-2	-1.171875E-3
7.839063E-2	1.171875E-3
1.293672E-1	3.515625E-3
1.837422E-1	5.859374E-3
2.392500E-1	8.593749E-3
2.936250E-1	1.093750E-2
3.491328E-1	1.328125E-2
3.984102E-1	1.562500E-2
4.448555E-1	1.757812E-2
4.935664E-1	1.992187E-2
5.411445E-1	2.226562E-2
5.847578E-1	2.421875E-2
6.255391E-1	2.617187E-2
6.657539E-1	2.812500E-2
7.059687E-1	2.968750E-2
7.427851E-1	3.164062E-2
7.779023E-1	3.320312E-2
8.084883E-1	3.437500E-2
8.339765E-1	3.554687E-2
8.526680E-1	3.632812E-2
8.679609E-1	3.710937E-2
8.798555E-1	3.750000E-2
8.894844E-1	3.789062E-2
8.962812E-1	3.789062E-2
9.013789E-1	3.828125E-2
9.047773E-1	3.828125E-2
9.070430E-1	3.828125E-2
9.081758E-1	3.828125E-2
9.042109E-1	3.789062E-2
8.928828E-1	3.750000E-2
8.753242E-1	3.632812E-2
8.526680E-1	3.515625E-2
8.266133E-1	3.398437E-2
7.982930E-1	3.242187E-2
7.671406E-1	3.085937E-2
7.337226E-1	2.929687E-2
6.957734E-1	2.734375E-2
6.532930E-1	2.539062E-2
6.091133E-1	2.304687E-2
5.632344E-1	2.070312E-2
5.167891E-1	1.835937E-2
4.675117E-1	1.601562E-2
4.125703E-1	1.367187E-2
3.536641E-1	1.093750E-2
2.924922E-1	8.203124E-3
2.347187E-1	5.468749E-3
1.758125E-1	2.734375E-3
1.191719E-1	3.906250E-4
6.649609E-2	-2.343750E-3
1.551953E-2	-4.296875E-3
-3.545703E-2	-6.640624E-3
-8.700000E-2	-8.984374E-3
-1.379766E-1	-1.132812E-2
-1.929180E-1	-1.367187E-2
-2.495586E-1	-1.601562E-2
-3.056328E-1	-1.835937E-2
-3.583086E-1	-2.109375E-2
-4.075859E-1	-2.304687E-2
-4.545976E-1	-2.539062E-2
-5.033086E-1	-2.773437E-2
-5.514531E-1	-3.007812E-2
-5.961992E-1	-3.203125E-2
-6.364140E-1	-3.398437E-2
-6.737969E-1	-3.554687E-2
-7.123125E-1	-3.710937E-2
-7.491289E-1	-3.867187E-2
-7.836797E-1	-4.023437E-2
-8.153984E-1	-4.140625E-2
-8.386211E-1	-4.257812E-2
-8.573125E-1	-4.375000E-2
-8.714726E-1	-4.414062E-2
-8.833672E-1	-4.453125E-2
-8.924297E-1	-4.492187E-2
-8.986601E-1	-4.531250E-2
-9.043242E-1	-4.531250E-2
-9.071562E-1	-4.531250E-2
-9.094219E-1	-4.531250E-2
-9.105547E-1	-4.531250E-2
-9.071562E-1	-4.492187E-2
-8.963945E-1	-4.453125E-2
-8.799687E-1	-4.335937E-2
-8.573125E-1	-4.257812E-2
-8.306914E-1	-4.101562E-2
-8.018047E-1	-3.984375E-2
-7.706523E-1	-3.828125E-2
-7.361015E-1	-3.671875E-2
-6.981523E-1	-3.476562E-2
-6.568047E-1	-3.281250E-2
-6.126250E-1	-3.046875E-2
-5.661797E-1	-2.812500E-2
-5.174687E-1	-2.578125E-2
-4.687578E-1	-2.343750E-2
-4.121172E-1	-2.109375E-2
-3.543437E-1	-1.835937E-2
-2.948711E-1	-1.562500E-2
-2.353984E-1	-1.289062E-2
-1.770586E-1	-1.054687E-2
-1.209844E-1	-7.812499E-3
-6.830859E-2	-5.468749E-3
-1.619922E-2	-3.125000E-3
3.421094E-2	-1.171875E-3
8.235547E-2	1.171875E-3
1.333320E-1	3.906250E-3
1.888398E-1	6.249999E-3
2.443477E-1	8.593749E-3
2.998555E-1	1.132812E-2
3.536641E-1	1.328125E-2
4.012422E-1	1.562500E-2
4.482539E-1	1.796875E-2
4.969648E-1	1.992187E-2
5.439766E-1	2.226562E-2
5.881562E-1	2.421875E-2
6.283711E-1	2.617187E-2
6.691523E-1	2.812500E-2
7.088008E-1	3.007812E-2
7.456172E-1	3.164062E-2
7.801680E-1	3.320312E-2
8.096211E-1	3.437500E-2
8.351094E-1	3.554687E-2
8.538008E-1	3.671875E-2
8.685273E-1	3.710937E-2
8.804219E-1	3.750000E-2
8.894844E-1	3.789062E-2
8.968476E-1	3.828125E-2
9.013789E-1	3.828125E-2
9.047773E-1	3.828125E-2
9.076094E-1	3.828125E-2
9.076094E-1	3.828125E-2
9.036445E-1	3.789062E-2
8.917500E-1	3.710937E-2
8.736250E-1	3.632812E-2
8.509687E-1	3.515625E-2
8.237812E-1	3.398437E-2
7.948945E-1	3.242187E-2
7.643086E-1	3.085937E-2
7.297578E-1	2.929687E-2
6.912422E-1	2.734375E-2
6.487617E-1	2.500000E-2
6.045820E-1	2.304687E-2
5.581367E-1	2.070312E-2
5.122578E-1	1.835937E-2
4.624141E-1	1.601562E-2
4.074727E-1	1.328125E-2
3.474336E-1	1.093750E-2
2.868281E-1	8.203124E-3
2.296211E-1	5.468749E-3
1.712812E-1	2.734375E-3
1.152070E-1	0.000000E+0
6.309766E-2	-2.343750E-3
1.212110E-2	-4.687500E-3
-3.885547E-2	-6.640624E-3
-8.983203E-2	-8.984374E-3
-1.419414E-1	-1.132812E-2
-1.974492E-1	-1.367187E-2
-2.535234E-1	-1.601562E-2
-3.090312E-1	-1.875000E-2
-3.622734E-1	-2.109375E-2
-4.098516E-1	-2.343750E-2
-4.574297E-1	-2.539062E-2
-5.061406E-1	-2.773437E-2
-5.542851E-1	-3.007812E-2
-5.984648E-1	-3.203125E-2
-6.392461E-1	-3.398437E-2
-6.766289E-1	-3.554687E-2
-7.157109E-1	-3.750000E-2
-7.519609E-1	-3.906250E-2
-7.859453E-1	-4.023437E-2
-8.165312E-1	-4.179687E-2
-8.403203E-1	-4.296875E-2
-8.590117E-1	-4.375000E-2
-8.726055E-1	-4.414062E-2
-8.845000E-1	-4.453125E-2
-8.935625E-1	-4.492187E-2
-8.992265E-1	-4.531250E-2
-9.043242E-1	-4.531250E-2
-9.077226E-1	-4.531250E-2
-9.099883E-1	-4.531250E-2
-9.099883E-1	-4.531250E-2
-9.065898E-1	-4.492187E-2
