X (Volt)	Y (Volt)
6.706250E-2	-3.906250E-4
1.191719E-1	4.296875E-3
1.769453E-1	8.593749E-3
2.335859E-1	1.210937E-2
2.907930E-1	1.523437E-2
3.480000E-1	1.835937E-2
3.989766E-1	2.109375E-2
4.471211E-1	2.343750E-2
4.963984E-1	2.578125E-2
5.439766E-1	2.812500E-2
5.887226E-1	3.046875E-2
6.306367E-1	3.242187E-2
6.714180E-1	3.437500E-2
7.121992E-1	3.632812E-2
7.507148E-1	3.828125E-2
7.875312E-1	3.984375E-2
8.192500E-1	4.140625E-2
8.458711E-1	4.296875E-2
8.656953E-1	4.375000E-2
8.821211E-1	4.453125E-2
8.945820E-1	4.492187E-2
9.047773E-1	4.531250E-2
9.127070E-1	4.570312E-2
9.189375E-1	4.570312E-2
9.234687E-1	4.570312E-2
9.263008E-1	4.609375E-2
9.280000E-1	4.570312E-2
9.251680E-1	4.570312E-2
9.166719E-1	4.531250E-2
9.013789E-1	4.414062E-2
8.792890E-1	4.296875E-2
8.521015E-1	4.140625E-2
8.215156E-1	3.984375E-2
7.892305E-1	3.828125E-2
7.546797E-1	3.632812E-2
7.155976E-1	3.437500E-2
6.731172E-1	3.203125E-2
6.295039E-1	3.007812E-2
5.841914E-1	2.773437E-2
5.394453E-1	2.539062E-2
4.918672E-1	2.304687E-2
4.357930E-1	2.031250E-2
3.763203E-1	1.718750E-2
3.134492E-1	1.406250E-2
2.534102E-1	1.132812E-2
1.962031E-1	8.203124E-3
1.389961E-1	5.468749E-3
8.518750E-2	2.734375E-3
3.364453E-2	0.000000E+0
-1.903125E-2	-2.734375E-3
-6.887500E-2	-6.249999E-3
-1.221172E-1	-1.054687E-2
-1.793242E-1	-1.445312E-2
-2.382305E-1	-1.835937E-2
-2.954375E-1	-2.187500E-2
-3.509453E-1	-2.500000E-2
-4.024883E-1	-2.773437E-2
-4.511992E-1	-3.046875E-2
-4.999101E-1	-3.281250E-2
-5.491875E-1	-3.515625E-2
-5.939336E-1	-3.750000E-2
-6.352812E-1	-3.906250E-2
-6.737969E-1	-4.101562E-2
-7.145781E-1	-4.296875E-2
-7.525273E-1	-4.453125E-2
-7.893437E-1	-4.648437E-2
-8.221953E-1	-4.804687E-2
-8.488164E-1	-4.921874E-2
-8.675078E-1	-5.039062E-2
-8.839336E-1	-5.117187E-2
