X (Volt)	Y (Volt)
2.079687E-2	1.953125E-3
8.765622E-3	1.074219E-3
-3.265628E-3	1.953125E-4
-1.357813E-2	-6.835938E-4
-2.432032E-2	-1.953125E-3
-3.678126E-2	-3.320313E-3
-5.053126E-2	-4.785157E-3
-6.428126E-2	-6.054688E-3
-7.760157E-2	-7.226563E-3
-9.006251E-2	-8.203126E-3
-1.012344E-1	-9.082032E-3
-1.132656E-1	-9.863282E-3
-1.244375E-1	-1.064453E-2
-1.343203E-1	-1.142578E-2
-1.437734E-1	-1.210938E-2
-1.536563E-1	-1.269531E-2
-1.635391E-1	-1.328125E-2
-1.725625E-1	-1.386719E-2
-1.811563E-1	-1.435547E-2
-1.888906E-1	-1.484375E-2
-1.949063E-1	-1.523438E-2
-1.992031E-1	-1.552734E-2
-2.026406E-1	-1.572266E-2
-2.052188E-1	-1.591797E-2
-2.077969E-1	-1.611328E-2
-2.099453E-1	-1.611328E-2
-2.112344E-1	-1.621094E-2
-2.120938E-1	-1.621094E-2
-2.129531E-1	-1.621094E-2
-2.133828E-1	-1.621094E-2
-2.125235E-1	-1.621094E-2
-2.112344E-1	-1.601563E-2
-2.082266E-1	-1.582031E-2
-2.030703E-1	-1.542969E-2
-1.974844E-1	-1.503906E-2
-1.914688E-1	-1.455078E-2
-1.845938E-1	-1.406250E-2
-1.768594E-1	-1.357422E-2
-1.691250E-1	-1.289063E-2
-1.605313E-1	-1.230469E-2
-1.502188E-1	-1.152344E-2
-1.390469E-1	-1.083984E-2
-1.291641E-1	-1.005859E-2
-1.175625E-1	-9.375001E-3
-1.059609E-1	-8.593751E-3
-9.264063E-2	-7.714844E-3
-7.932032E-2	-6.738282E-3
-6.642969E-2	-5.859375E-3
-5.267969E-2	-4.980469E-3
-3.935938E-2	-4.101563E-3
-2.646875E-2	-3.222656E-3
-1.486719E-2	-2.343750E-3
-3.265628E-3	-1.464844E-3
6.617184E-3	-4.882813E-4
1.735937E-2	8.789063E-4
3.067969E-2	2.441406E-3
4.400000E-2	3.906250E-3
5.646094E-2	5.175782E-3
6.892187E-2	6.250000E-3
8.052344E-2	7.226563E-3
9.255469E-2	8.007813E-3
1.041563E-1	8.789063E-3
1.157578E-1	9.570313E-3
1.265000E-1	1.025391E-2
1.363828E-1	1.093750E-2
1.458359E-1	1.152344E-2
1.552891E-1	1.210938E-2
1.643125E-1	1.259766E-2
1.720469E-1	1.318359E-2
1.789219E-1	1.357422E-2
1.853672E-1	1.396484E-2
1.896641E-1	1.425781E-2
1.931016E-1	1.445313E-2
1.965391E-1	1.464844E-2
1.982578E-1	1.474609E-2
2.004063E-1	1.484375E-2
2.016953E-1	1.484375E-2
2.016953E-1	1.494141E-2
2.029844E-1	1.494141E-2
2.034141E-1	1.494141E-2
2.029844E-1	1.484375E-2
2.008359E-1	1.464844E-2
1.973984E-1	1.445313E-2
1.935313E-1	1.406250E-2
1.879453E-1	1.367188E-2
1.819297E-1	1.318359E-2
1.754844E-1	1.269531E-2
1.681797E-1	1.220703E-2
1.600156E-1	1.162109E-2
1.501328E-1	1.103516E-2
1.406797E-1	1.035156E-2
1.307969E-1	9.570313E-3
1.200547E-1	8.886719E-3
1.093125E-1	8.105469E-3
9.728125E-2	7.324219E-3
8.439063E-2	6.347657E-3
7.107031E-2	5.468750E-3
5.817969E-2	4.492188E-3
4.571875E-2	3.613281E-3
3.282812E-2	2.734375E-3
1.993750E-2	1.855469E-3
7.476560E-3	9.765626E-4
-4.125004E-3	9.765626E-5
-1.357813E-2	-7.812500E-4
-2.389063E-2	-2.050781E-3
-3.678126E-2	-3.417969E-3
-5.139063E-2	-4.882813E-3
-6.471094E-2	-6.152344E-3
-7.803126E-2	-7.324219E-3
-8.963282E-2	-8.300782E-3
-1.012344E-1	-9.179688E-3
-1.136953E-1	-9.960938E-3
-1.252969E-1	-1.074219E-2
-1.356094E-1	-1.142578E-2
-1.450625E-1	-1.210938E-2
-1.545156E-1	-1.269531E-2
-1.635391E-1	-1.337891E-2
-1.721328E-1	-1.396484E-2
-1.811563E-1	-1.445313E-2
-1.888906E-1	-1.494141E-2
-1.953359E-1	-1.533203E-2
-1.996328E-1	-1.562500E-2
-2.026406E-1	-1.582031E-2
-2.056485E-1	-1.601563E-2
-2.082266E-1	-1.611328E-2
-2.103750E-1	-1.621094E-2
-2.112344E-1	-1.621094E-2
-2.120938E-1	-1.621094E-2
-2.125235E-1	-1.621094E-2
-2.133828E-1	-1.621094E-2
-2.133828E-1	-1.621094E-2
-2.112344E-1	-1.611328E-2
-2.086563E-1	-1.582031E-2
-2.039297E-1	-1.542969E-2
-1.979141E-1	-1.503906E-2
-1.914688E-1	-1.455078E-2
-1.845938E-1	-1.406250E-2
-1.768594E-1	-1.357422E-2
-1.686953E-1	-1.298828E-2
-1.596719E-1	-1.230469E-2
-1.493594E-1	-1.162109E-2
-1.386172E-1	-1.093750E-2
-1.287344E-1	-1.015625E-2
-1.175625E-1	-9.375001E-3
-1.055313E-1	-8.593751E-3
-9.178126E-2	-7.714844E-3
-7.846094E-2	-6.738282E-3
-6.557032E-2	-5.859375E-3
-5.182032E-2	-4.980469E-3
-3.892969E-2	-4.101563E-3
-2.646875E-2	-3.222656E-3
-1.443750E-2	-2.343750E-3
-2.835941E-3	-1.464844E-3
7.046872E-3	-4.882813E-4
1.821875E-2	8.789063E-4
3.110937E-2	2.441406E-3
4.442969E-2	4.003906E-3
5.732031E-2	5.273438E-3
6.978125E-2	6.250000E-3
8.138281E-2	7.226563E-3
9.298438E-2	8.007813E-3
1.050156E-1	8.789063E-3
1.166172E-1	9.570313E-3
1.265000E-1	1.025391E-2
1.363828E-1	1.093750E-2
1.462656E-1	1.152344E-2
1.561484E-1	1.210938E-2
1.651719E-1	1.269531E-2
1.729063E-1	1.318359E-2
1.802109E-1	1.367188E-2
1.857969E-1	1.406250E-2
1.900938E-1	1.425781E-2
1.931016E-1	1.455078E-2
1.965391E-1	1.464844E-2
1.982578E-1	1.474609E-2
1.995469E-1	1.484375E-2
2.016953E-1	1.494141E-2
2.025547E-1	1.494141E-2
2.029844E-1	1.494141E-2
2.038438E-1	1.484375E-2
2.034141E-1	1.484375E-2
2.012656E-1	1.464844E-2
1.978281E-1	1.445313E-2
1.935313E-1	1.416016E-2
1.875156E-1	1.367188E-2
1.815000E-1	1.318359E-2
1.746250E-1	1.269531E-2
1.681797E-1	1.220703E-2
1.595859E-1	1.162109E-2
1.505625E-1	1.093750E-2
1.402500E-1	1.025391E-2
1.303672E-1	9.570313E-3
1.196250E-1	8.789063E-3
1.084531E-1	8.105469E-3
9.599219E-2	7.226563E-3
8.353125E-2	6.347657E-3
7.064062E-2	5.371094E-3
5.775000E-2	4.492188E-3
4.528906E-2	3.515625E-3
3.239844E-2	2.636719E-3
2.036719E-2	1.757813E-3
7.906247E-3	9.765626E-4
-3.695316E-3	9.765626E-5
-1.443750E-2	-7.812500E-4
-2.517969E-2	-2.050781E-3
-3.807032E-2	-3.515625E-3
-5.225001E-2	-4.980469E-3
-6.600001E-2	-6.250000E-3
-7.803126E-2	-7.324219E-3
-9.006251E-2	-8.300782E-3
-1.016641E-1	-9.179688E-3
-1.136953E-1	-9.960938E-3
-1.248672E-1	-1.074219E-2
-1.351797E-1	-1.152344E-2
-1.450625E-1	-1.210938E-2
-1.545156E-1	-1.279297E-2
-1.643984E-1	-1.337891E-2
-1.729922E-1	-1.396484E-2
-1.811563E-1	-1.445313E-2
-1.888906E-1	-1.494141E-2
-1.944766E-1	-1.533203E-2
-1.987735E-1	-1.562500E-2
-2.022110E-1	-1.582031E-2
-2.052188E-1	-1.591797E-2
-2.077969E-1	-1.601563E-2
-2.103750E-1	-1.611328E-2
-2.112344E-1	-1.621094E-2
-2.120938E-1	-1.621094E-2
-2.129531E-1	-1.621094E-2
-2.133828E-1	-1.621094E-2
-2.129531E-1	-1.611328E-2
-2.108047E-1	-1.601563E-2
-2.077969E-1	-1.582031E-2
-2.026406E-1	-1.542969E-2
-1.974844E-1	-1.503906E-2
-1.914688E-1	-1.455078E-2
-1.841641E-1	-1.406250E-2
-1.772891E-1	-1.357422E-2
-1.686953E-1	-1.298828E-2
-1.601016E-1	-1.230469E-2
-1.493594E-1	-1.162109E-2
-1.390469E-1	-1.083984E-2
-1.287344E-1	-1.015625E-2
-1.175625E-1	-9.375001E-3
-1.055313E-1	-8.593751E-3
-9.178126E-2	-7.617188E-3
-7.889063E-2	-6.738282E-3
-6.600001E-2	-5.859375E-3
-5.225001E-2	-4.980469E-3
-3.978907E-2	-4.003906E-3
-2.689844E-2	-3.222656E-3
-1.443750E-2	-2.343750E-3
-2.835941E-3	-1.464844E-3
6.617184E-3	-3.906250E-4
1.778906E-2	9.765626E-4
3.153906E-2	2.539063E-3
4.442969E-2	4.003906E-3
5.732031E-2	5.273438E-3
6.935156E-2	6.347657E-3
8.138281E-2	7.226563E-3
9.255469E-2	8.007813E-3
1.045859E-1	8.789063E-3
1.161875E-1	9.570313E-3
1.269297E-1	1.025391E-2
1.363828E-1	1.093750E-2
1.462656E-1	1.152344E-2
1.552891E-1	1.220703E-2
1.647422E-1	1.269531E-2
1.724766E-1	1.318359E-2
1.793516E-1	1.367188E-2
1.853672E-1	1.396484E-2
1.900938E-1	1.425781E-2
1.935313E-1	1.445313E-2
1.965391E-1	1.464844E-2
1.982578E-1	1.474609E-2
1.999766E-1	1.484375E-2
2.016953E-1	1.484375E-2
2.029844E-1	1.494141E-2
2.038438E-1	1.494141E-2
2.038438E-1	1.484375E-2
2.034141E-1	1.484375E-2
2.012656E-1	1.464844E-2
1.978281E-1	1.445313E-2
1.935313E-1	1.416016E-2
1.879453E-1	1.367188E-2
1.819297E-1	1.318359E-2
1.759141E-1	1.269531E-2
1.686094E-1	1.220703E-2
1.600156E-1	1.162109E-2
1.509922E-1	1.103516E-2
1.411094E-1	1.035156E-2
1.312266E-1	9.570313E-3
1.209141E-1	8.886719E-3
1.093125E-1	8.105469E-3
9.728125E-2	7.226563E-3
8.439063E-2	6.347657E-3
7.150000E-2	5.371094E-3
5.817969E-2	4.492188E-3
4.571875E-2	3.515625E-3
3.282812E-2	2.734375E-3
1.993750E-2	1.855469E-3
7.476560E-3	9.765626E-4
-3.695316E-3	9.765626E-5
-1.357813E-2	-8.789063E-4
-2.432032E-2	-2.050781E-3
-3.721094E-2	-3.515625E-3
-5.139063E-2	-4.980469E-3
-6.514063E-2	-6.250000E-3
-7.803126E-2	-7.324219E-3
-9.049220E-2	-8.300782E-3
-1.025234E-1	-9.179688E-3
-1.141250E-1	-1.005859E-2
-1.248672E-1	-1.083984E-2
-1.351797E-1	-1.152344E-2
-1.450625E-1	-1.220703E-2
-1.545156E-1	-1.279297E-2
-1.639688E-1	-1.337891E-2
-1.729922E-1	-1.396484E-2
-1.815859E-1	-1.445313E-2
-1.888906E-1	-1.494141E-2
-1.944766E-1	-1.533203E-2
-1.992031E-1	-1.562500E-2
-2.026406E-1	-1.591797E-2
-2.056485E-1	-1.601563E-2
-2.082266E-1	-1.611328E-2
-2.099453E-1	-1.621094E-2
-2.112344E-1	-1.630859E-2
-2.116641E-1	-1.630859E-2
-2.129531E-1	-1.630859E-2
-2.133828E-1	-1.621094E-2
-2.129531E-1	-1.621094E-2
-2.112344E-1	-1.611328E-2
-2.082266E-1	-1.582031E-2
-2.030703E-1	-1.552734E-2
-1.970547E-1	-1.503906E-2
-1.914688E-1	-1.455078E-2
-1.837344E-1	-1.406250E-2
-1.764297E-1	-1.357422E-2
-1.682656E-1	-1.298828E-2
-1.592422E-1	-1.240234E-2
-1.489297E-1	-1.162109E-2
-1.390469E-1	-1.093750E-2
-1.287344E-1	-1.015625E-2
-1.175625E-1	-9.472657E-3
-1.046719E-1	-8.593751E-3
-9.178126E-2	-7.714844E-3
-7.846094E-2	-6.738282E-3
-6.557032E-2	-5.859375E-3
-5.225001E-2	-4.882813E-3
-3.850001E-2	-4.003906E-3
-2.603907E-2	-3.125000E-3
-1.357813E-2	-2.343750E-3
-2.406253E-3	-1.464844E-3
7.906247E-3	-3.906250E-4
1.778906E-2	9.765626E-4
3.110937E-2	2.539063E-3
4.485937E-2	4.003906E-3
