X (Volt)	Y (Volt)
-1.175391E-1	-8.203124E-3
-7.066409E-2	-6.249999E-3
-2.378908E-2	-3.906250E-3
2.074217E-2	-1.953125E-3
6.468749E-2	7.812499E-4
1.109766E-1	3.515625E-3
1.613672E-1	6.249999E-3
2.123438E-1	8.593749E-3
2.615625E-1	1.093750E-2
3.084375E-1	1.289062E-2
3.523829E-1	1.484375E-2
3.951563E-1	1.679687E-2
4.391016E-1	1.875000E-2
4.824610E-1	2.109375E-2
5.217188E-1	2.265625E-2
5.574610E-1	2.460937E-2
5.937891E-1	2.617187E-2
6.295313E-1	2.773437E-2
6.635157E-1	2.929687E-2
6.939845E-1	3.085937E-2
7.209376E-1	3.203125E-2
7.426173E-1	3.281250E-2
7.584376E-1	3.359375E-2
7.719142E-1	3.398437E-2
7.818751E-1	3.437500E-2
7.900782E-1	3.476562E-2
7.965236E-1	3.515625E-2
8.012111E-1	3.515625E-2
8.047267E-1	3.515625E-2
8.070704E-1	3.515625E-2
8.070704E-1	3.515625E-2
8.017970E-1	3.476562E-2
7.918361E-1	3.437500E-2
7.766017E-1	3.359375E-2
7.566798E-1	3.242187E-2
7.332423E-1	3.125000E-2
7.068751E-1	3.007812E-2
6.793360E-1	2.851562E-2
6.488673E-1	2.695312E-2
6.154688E-1	2.539062E-2
5.791407E-1	2.343750E-2
5.428126E-1	2.187500E-2
5.041407E-1	1.992187E-2
4.642969E-1	1.796875E-2
4.215235E-1	1.562500E-2
3.723047E-1	1.367187E-2
3.183985E-1	1.132812E-2
2.650782E-1	8.593749E-3
2.129297E-1	6.249999E-3
1.607813E-1	3.906250E-3
1.115625E-1	1.562500E-3
6.585937E-2	-7.812499E-4
2.015624E-2	-2.734375E-3
-2.554690E-2	-4.687500E-3
-7.183597E-2	-7.421874E-3
-1.198828E-1	-9.765624E-3
-1.702735E-1	-1.250000E-2
-2.206641E-1	-1.445312E-2
-2.704688E-1	-1.718750E-2
-3.185157E-1	-1.953125E-2
-3.624610E-1	-2.148437E-2
-4.034766E-1	-2.343750E-2
-4.474220E-1	-2.539062E-2
-4.907814E-1	-2.734375E-2
-5.294532E-1	-2.929687E-2
-5.663673E-1	-3.085937E-2
-6.026954E-1	-3.281250E-2
-6.378517E-1	-3.398437E-2
-6.712501E-1	-3.554687E-2
-7.005470E-1	-3.710937E-2
-7.275001E-1	-3.828125E-2
-7.485939E-1	-3.906250E-2
-7.632423E-1	-3.984375E-2
-7.761330E-1	-4.023437E-2
-7.866798E-1	-4.062500E-2
-7.948830E-1	-4.062500E-2
-8.013283E-1	-4.101562E-2
-8.060158E-1	-4.101562E-2
-8.089455E-1	-4.101562E-2
-8.112892E-1	-4.101562E-2
-8.112892E-1	-4.101562E-2
-8.077736E-1	-4.101562E-2
-7.978127E-1	-4.023437E-2
-7.831642E-1	-3.984375E-2
-7.632423E-1	-3.867187E-2
-7.386330E-1	-3.750000E-2
-7.134376E-1	-3.632812E-2
-6.858986E-1	-3.515625E-2
-6.566017E-1	-3.359375E-2
-6.226173E-1	-3.203125E-2
-5.857032E-1	-3.007812E-2
-5.464454E-1	-2.812500E-2
-5.071876E-1	-2.617187E-2
-4.673438E-1	-2.421875E-2
-4.233985E-1	-2.226562E-2
-3.747657E-1	-1.992187E-2
-3.220313E-1	-1.757812E-2
-2.681251E-1	-1.484375E-2
-2.142188E-1	-1.250000E-2
-1.626563E-1	-1.015625E-2
-1.140235E-1	-7.812499E-3
-6.714847E-2	-5.859374E-3
-1.968752E-2	-3.515625E-3
2.484374E-2	-1.562500E-3
6.937500E-2	1.171875E-3
1.156641E-1	3.906250E-3
1.654688E-1	6.249999E-3
2.164453E-1	8.593749E-3
2.650782E-1	1.093750E-2
3.119532E-1	1.289062E-2
3.553125E-1	1.484375E-2
3.980860E-1	1.718750E-2
4.426172E-1	1.914062E-2
4.848048E-1	2.109375E-2
5.240626E-1	2.304687E-2
5.603907E-1	2.460937E-2
5.967188E-1	2.656250E-2
6.318751E-1	2.812500E-2
6.646876E-1	2.968750E-2
6.963282E-1	3.085937E-2
7.232814E-1	3.203125E-2
7.449610E-1	3.320312E-2
7.601954E-1	3.359375E-2
7.725001E-1	3.437500E-2
7.830470E-1	3.476562E-2
7.918361E-1	3.476562E-2
7.971095E-1	3.515625E-2
8.023829E-1	3.515625E-2
8.047267E-1	3.515625E-2
8.070704E-1	3.515625E-2
8.070704E-1	3.515625E-2
8.012111E-1	3.476562E-2
7.906642E-1	3.398437E-2
7.748439E-1	3.320312E-2
7.549220E-1	3.242187E-2
7.314845E-1	3.125000E-2
7.045314E-1	3.007812E-2
6.764063E-1	2.851562E-2
6.459376E-1	2.695312E-2
6.131251E-1	2.539062E-2
5.767970E-1	2.343750E-2
5.398829E-1	2.148437E-2
5.006251E-1	1.992187E-2
4.607813E-1	1.757812E-2
4.174219E-1	1.562500E-2
3.676172E-1	1.328125E-2
3.137110E-1	1.093750E-2
2.603907E-1	8.593749E-3
2.082422E-1	6.249999E-3
1.566797E-1	3.515625E-3
1.074609E-1	1.171875E-3
6.234374E-2	-7.812499E-4
1.605467E-2	-3.125000E-3
-2.906252E-2	-5.078124E-3
-7.593753E-2	-7.812499E-3
-1.228125E-1	-1.015625E-2
-1.732032E-1	-1.250000E-2
-2.230079E-1	-1.484375E-2
-2.728126E-1	-1.718750E-2
-3.208594E-1	-1.953125E-2
-3.653907E-1	-2.148437E-2
-4.069923E-1	-2.382812E-2
-4.509376E-1	-2.578125E-2
-4.937110E-1	-2.773437E-2
-5.312110E-1	-2.968750E-2
-5.681251E-1	-3.125000E-2
-6.044532E-1	-3.281250E-2
-6.396095E-1	-3.437500E-2
-6.724220E-1	-3.593750E-2
-7.017189E-1	-3.710937E-2
-7.286720E-1	-3.828125E-2
-7.485939E-1	-3.906250E-2
-7.632423E-1	-3.984375E-2
-7.761330E-1	-4.023437E-2
-7.860939E-1	-4.062500E-2
-7.948830E-1	-4.101562E-2
-8.007423E-1	-4.101562E-2
-8.048439E-1	-4.101562E-2
-8.077736E-1	-4.140625E-2
-8.107033E-1	-4.140625E-2
-8.107033E-1	-4.101562E-2
-8.060158E-1	-4.101562E-2
-7.948830E-1	-4.023437E-2
