X (Volt)	Y (Volt)
9.574219E-2	3.906250E-4
1.461328E-1	1.171875E-2
2.053125E-1	2.382812E-2
2.627344E-1	3.437500E-2
3.154688E-1	4.375000E-2
3.682032E-1	5.117187E-2
4.203516E-1	5.781249E-2
4.707423E-1	6.406249E-2
5.158594E-1	6.874999E-2
5.574610E-1	7.304687E-2
5.967188E-1	7.656249E-2
6.353907E-1	8.046874E-2
6.728907E-1	8.398437E-2
7.062892E-1	8.671874E-2
7.373439E-1	8.906249E-2
7.607814E-1	9.101562E-2
7.789454E-1	9.257812E-2
7.935939E-1	9.374999E-2
8.053126E-1	9.453124E-2
8.135157E-1	9.492187E-2
8.205470E-1	9.531249E-2
8.264064E-1	9.531249E-2
8.299220E-1	9.570312E-2
8.322658E-1	9.570312E-2
8.334376E-1	9.531249E-2
8.310939E-1	9.531249E-2
8.223048E-1	9.453124E-2
8.082423E-1	9.335937E-2
7.894923E-1	9.218749E-2
7.654689E-1	9.062499E-2
7.396876E-1	8.867187E-2
7.103907E-1	8.632812E-2
6.793360E-1	8.398437E-2
6.453517E-1	8.164062E-2
6.096095E-1	7.851562E-2
5.697657E-1	7.578124E-2
5.299219E-1	7.265624E-2
4.883204E-1	6.992187E-2
4.432032E-1	6.679687E-2
3.928126E-1	6.289062E-2
3.400782E-1	5.820312E-2
2.861719E-1	5.390624E-2
2.340235E-1	4.921874E-2
1.812891E-1	4.453125E-2
1.308984E-1	3.906250E-2
8.402344E-2	3.359375E-2
3.949218E-2	2.773437E-2
-2.695330E-3	2.109375E-2
-3.550784E-2	1.328125E-2
-6.773440E-2	3.906250E-3
-1.052344E-1	-6.640624E-3
-1.544532E-1	-1.796875E-2
-2.148047E-1	-2.968750E-2
-2.733985E-1	-4.023437E-2
-3.273048E-1	-4.921874E-2
-3.782813E-1	-5.742187E-2
-4.292579E-1	-6.406249E-2
-4.790626E-1	-7.031249E-2
-5.230079E-1	-7.578124E-2
-5.651954E-1	-8.046874E-2
-6.050392E-1	-8.437499E-2
-6.437111E-1	-8.789062E-2
-6.788673E-1	-9.140624E-2
-7.110939E-1	-9.414062E-2
-7.403908E-1	-9.648437E-2
-7.632423E-1	-9.843749E-2
-7.808205E-1	-9.960936E-2
-7.960548E-1	-1.007812E-1
-8.071877E-1	-1.015625E-1
-8.159767E-1	-1.019531E-1
-8.230080E-1	-1.023437E-1
-8.288673E-1	-1.027344E-1
-8.335548E-1	-1.027344E-1
-8.364845E-1	-1.027344E-1
-8.370705E-1	-1.027344E-1
-8.335548E-1	-1.023437E-1
-8.241798E-1	-1.015625E-1
-8.095314E-1	-1.007812E-1
-7.901955E-1	-9.921874E-2
-7.655861E-1	-9.765624E-2
-7.403908E-1	-9.570312E-2
-7.122658E-1	-9.374999E-2
-6.817970E-1	-9.140624E-2
-6.495704E-1	-8.906249E-2
-6.120704E-1	-8.632812E-2
-5.728126E-1	-8.320312E-2
-5.306251E-1	-8.007812E-2
-4.896095E-1	-7.656249E-2
-4.444923E-1	-7.265624E-2
-3.946876E-1	-6.874999E-2
