X (Volt)	Y (Volt)
1.359377E-3	-3.125000E-3
5.176953E-2	-3.906250E-4
1.021797E-1	2.734375E-3
1.571211E-1	5.859374E-3
2.131953E-1	8.593749E-3
2.681367E-1	1.093750E-2
3.242109E-1	1.367187E-2
3.768867E-1	1.601562E-2
4.233320E-1	1.835937E-2
4.709101E-1	2.070312E-2
5.190547E-1	2.304687E-2
5.660664E-1	2.539062E-2
6.102461E-1	2.734375E-2
6.515937E-1	2.929687E-2
6.935078E-1	3.125000E-2
7.331562E-1	3.320312E-2
7.705391E-1	3.476562E-2
8.033906E-1	3.632812E-2
8.317109E-1	3.750000E-2
8.532344E-1	3.867187E-2
8.696601E-1	3.945312E-2
8.826875E-1	3.984375E-2
8.945820E-1	4.023437E-2
9.025117E-1	4.062500E-2
9.087422E-1	4.062500E-2
9.132734E-1	4.101562E-2
9.166719E-1	4.101562E-2
9.183711E-1	4.062500E-2
9.183711E-1	4.062500E-2
9.121406E-1	4.023437E-2
8.985469E-1	3.945312E-2
8.781562E-1	3.867187E-2
8.532344E-1	3.710937E-2
8.254805E-1	3.593750E-2
7.954609E-1	3.437500E-2
7.637422E-1	3.242187E-2
7.263594E-1	3.085937E-2
6.844453E-1	2.890625E-2
6.385664E-1	2.617187E-2
5.926875E-1	2.421875E-2
5.456758E-1	2.148437E-2
5.014961E-1	1.914062E-2
4.510859E-1	1.679687E-2
3.933125E-1	1.406250E-2
3.315742E-1	1.132812E-2
2.698359E-1	8.593749E-3
2.114961E-1	5.859374E-3
1.531562E-1	3.125000E-3
1.004805E-1	3.906250E-4
4.893750E-2	-1.953125E-3
-3.738280E-3	-4.296875E-3
-5.528125E-2	-7.031249E-3
-1.090898E-1	-1.015625E-2
-1.634648E-1	-1.250000E-2
-2.189727E-1	-1.523437E-2
-2.761797E-1	-1.835937E-2
-3.299883E-1	-2.070312E-2
-3.809648E-1	-2.343750E-2
-4.291094E-1	-2.578125E-2
-4.772539E-1	-2.812500E-2
-5.259648E-1	-3.046875E-2
-5.735430E-1	-3.281250E-2
-6.165898E-1	-3.476562E-2
-6.568047E-1	-3.632812E-2
-6.964531E-1	-3.828125E-2
-7.349687E-1	-3.984375E-2
-7.723515E-1	-4.140625E-2
-8.063359E-1	-4.296875E-2
-8.346562E-1	-4.414062E-2
-8.556133E-1	-4.531250E-2
-8.709062E-1	-4.609375E-2
-8.839336E-1	-4.648437E-2
-8.946953E-1	-4.687500E-2
-9.026250E-1	-4.726562E-2
-9.082890E-1	-4.726562E-2
-9.128203E-1	-4.765625E-2
-9.156523E-1	-4.765625E-2
-9.179180E-1	-4.765625E-2
-9.173515E-1	-4.726562E-2
-9.111211E-1	-4.687500E-2
-8.992265E-1	-4.609375E-2
-8.799687E-1	-4.531250E-2
-8.561797E-1	-4.414062E-2
-8.289922E-1	-4.257812E-2
-7.989726E-1	-4.101562E-2
-7.666875E-1	-3.945312E-2
-7.293047E-1	-3.789062E-2
-6.868242E-1	-3.593750E-2
-6.420781E-1	-3.359375E-2
-5.950664E-1	-3.125000E-2
-5.480547E-1	-2.890625E-2
-5.016094E-1	-2.656250E-2
-4.523320E-1	-2.421875E-2
-3.939922E-1	-2.148437E-2
-3.345195E-1	-1.835937E-2
-2.733476E-1	-1.562500E-2
-2.133086E-1	-1.289062E-2
-1.561016E-1	-1.054687E-2
-1.022930E-1	-7.812499E-3
-4.848437E-2	-5.078124E-3
4.757814E-3	-2.734375E-3
5.460156E-2	-3.906250E-4
1.055781E-1	2.734375E-3
1.610859E-1	5.859374E-3
2.165937E-1	8.593749E-3
2.721016E-1	1.132812E-2
3.276094E-1	1.406250E-2
3.797187E-1	1.640625E-2
4.261641E-1	1.875000E-2
4.737422E-1	2.070312E-2
5.224531E-1	2.304687E-2
5.700312E-1	2.539062E-2
6.142109E-1	2.773437E-2
6.561250E-1	2.968750E-2
6.974726E-1	3.125000E-2
7.365547E-1	3.320312E-2
7.733711E-1	3.476562E-2
8.050898E-1	3.632812E-2
8.322773E-1	3.789062E-2
8.543672E-1	3.867187E-2
8.702265E-1	3.945312E-2
8.826875E-1	3.984375E-2
8.934492E-1	4.023437E-2
9.019453E-1	4.062500E-2
9.087422E-1	4.062500E-2
9.121406E-1	4.062500E-2
9.149726E-1	4.101562E-2
9.166719E-1	4.062500E-2
9.166719E-1	4.062500E-2
9.098750E-1	4.023437E-2
8.968476E-1	3.945312E-2
8.770234E-1	3.828125E-2
8.526680E-1	3.710937E-2
8.249140E-1	3.554687E-2
7.948945E-1	3.398437E-2
7.631758E-1	3.242187E-2
7.246601E-1	3.085937E-2
6.810469E-1	2.851562E-2
6.346016E-1	2.617187E-2
5.881562E-1	2.382812E-2
5.422773E-1	2.148437E-2
4.975312E-1	1.914062E-2
4.471211E-1	1.679687E-2
3.887812E-1	1.406250E-2
3.270430E-1	1.132812E-2
2.664375E-1	8.593749E-3
2.080977E-1	5.859374E-3
1.514570E-1	3.125000E-3
9.651562E-2	3.906250E-4
4.497266E-2	-1.953125E-3
-7.136717E-3	-4.296875E-3
-5.867968E-2	-7.031249E-3
-1.119219E-1	-1.015625E-2
-1.657305E-1	-1.289062E-2
-2.223711E-1	-1.562500E-2
-2.778789E-1	-1.835937E-2
-3.333867E-1	-2.109375E-2
-3.849297E-1	-2.343750E-2
-4.319414E-1	-2.578125E-2
-4.800859E-1	-2.812500E-2
-5.304961E-1	-3.046875E-2
-5.786406E-1	-3.281250E-2
-6.205547E-1	-3.476562E-2
-6.607695E-1	-3.632812E-2
-7.004180E-1	-3.828125E-2
-7.389336E-1	-3.984375E-2
-7.751836E-1	-4.140625E-2
-8.091680E-1	-4.296875E-2
-8.363555E-1	-4.414062E-2
-8.567461E-1	-4.531250E-2
-8.726055E-1	-4.570312E-2
-8.856328E-1	-4.648437E-2
-8.958281E-1	-4.687500E-2
-9.043242E-1	-4.726562E-2
-9.094219E-1	-4.726562E-2
-9.139531E-1	-4.726562E-2
-9.167851E-1	-4.726562E-2
-9.190508E-1	-4.726562E-2
-9.184844E-1	-4.726562E-2
-9.128203E-1	-4.687500E-2
-9.009258E-1	-4.648437E-2
-8.811015E-1	-4.531250E-2
-8.573125E-1	-4.414062E-2
-8.301250E-1	-4.257812E-2
-7.989726E-1	-4.101562E-2
-7.655547E-1	-3.945312E-2
-7.270390E-1	-3.789062E-2
-6.839922E-1	-3.554687E-2
-6.398125E-1	-3.359375E-2
-5.933672E-1	-3.125000E-2
-5.463555E-1	-2.890625E-2
-5.004766E-1	-2.656250E-2
-4.495000E-1	-2.421875E-2
-3.911601E-1	-2.148437E-2
-3.311211E-1	-1.835937E-2
-2.699492E-1	-1.523437E-2
-2.099102E-1	-1.289062E-2
-1.532695E-1	-1.015625E-2
-9.946093E-2	-7.812499E-3
-4.508594E-2	-5.078124E-3
7.023439E-3	-2.734375E-3
5.743359E-2	0.000000E+0
1.089766E-1	3.125000E-3
1.633516E-1	6.249999E-3
2.199922E-1	8.984374E-3
2.755000E-1	1.132812E-2
3.315742E-1	1.406250E-2
3.836836E-1	1.640625E-2
4.295625E-1	1.875000E-2
4.777070E-1	2.109375E-2
5.264180E-1	2.343750E-2
5.739961E-1	2.578125E-2
6.170430E-1	2.773437E-2
6.595234E-1	2.968750E-2
7.008711E-1	3.164062E-2
7.405195E-1	3.320312E-2
7.767695E-1	3.515625E-2
8.090547E-1	3.632812E-2
8.356758E-1	3.789062E-2
8.571992E-1	3.867187E-2
8.724922E-1	3.945312E-2
8.860859E-1	3.984375E-2
8.968476E-1	4.023437E-2
9.042109E-1	4.062500E-2
9.104414E-1	4.062500E-2
9.149726E-1	4.101562E-2
9.172383E-1	4.101562E-2
9.195039E-1	4.101562E-2
9.189375E-1	4.062500E-2
9.121406E-1	4.023437E-2
8.985469E-1	3.945312E-2
8.770234E-1	3.867187E-2
8.515351E-1	3.710937E-2
8.232148E-1	3.554687E-2
7.931953E-1	3.398437E-2
7.609101E-1	3.242187E-2
7.229609E-1	3.046875E-2
6.793476E-1	2.851562E-2
6.340351E-1	2.617187E-2
5.875898E-1	2.382812E-2
5.417109E-1	2.148437E-2
4.963984E-1	1.914062E-2
4.448555E-1	1.679687E-2
3.865156E-1	1.406250E-2
3.236445E-1	1.093750E-2
2.636055E-1	8.203124E-3
2.052656E-1	5.468749E-3
1.480586E-1	2.734375E-3
9.368359E-2	3.906250E-4
4.214063E-2	-2.343750E-3
-1.053515E-2	-4.687500E-3
-6.264453E-2	-7.421874E-3
-1.153203E-1	-1.015625E-2
-1.702617E-1	-1.289062E-2
-2.269023E-1	-1.562500E-2
-2.835430E-1	-1.835937E-2
-3.379180E-1	-2.109375E-2
-3.877617E-1	-2.382812E-2
-4.353398E-1	-2.578125E-2
-4.834844E-1	-2.812500E-2
-5.333281E-1	-3.085937E-2
-5.814726E-1	-3.281250E-2
-6.245195E-1	-3.476562E-2
-6.641680E-1	-3.671875E-2
-7.032500E-1	-3.828125E-2
-7.417656E-1	-4.023437E-2
-7.780156E-1	-4.179687E-2
-8.114336E-1	-4.335937E-2
-8.380547E-1	-4.453125E-2
-8.584453E-1	-4.531250E-2
-8.743047E-1	-4.609375E-2
-8.873320E-1	-4.648437E-2
-8.980937E-1	-4.687500E-2
-9.054570E-1	-4.726562E-2
-9.111211E-1	-4.765625E-2
-9.150859E-1	-4.765625E-2
-9.190508E-1	-4.765625E-2
-9.207500E-1	-4.765625E-2
-9.196172E-1	-4.726562E-2
-9.128203E-1	-4.726562E-2
-9.003594E-1	-4.648437E-2
-8.805351E-1	-4.531250E-2
-8.556133E-1	-4.414062E-2
-8.278594E-1	-4.257812E-2
-7.972734E-1	-4.101562E-2
-7.632890E-1	-3.945312E-2
-7.242070E-1	-3.750000E-2
-6.811601E-1	-3.554687E-2
-6.369805E-1	-3.320312E-2
-5.905351E-1	-3.085937E-2
-5.435234E-1	-2.851562E-2
-4.970781E-1	-2.656250E-2
-4.461016E-1	-2.382812E-2
-3.871953E-1	-2.109375E-2
-3.265898E-1	-1.835937E-2
-2.665508E-1	-1.523437E-2
-2.065117E-1	-1.250000E-2
