X (Volt)	Y (Volt)
5.403516E-2	-1.562500E-3
1.050117E-1	3.125000E-3
1.616523E-1	7.421874E-3
2.199922E-1	1.132812E-2
2.771992E-1	1.445312E-2
3.349727E-1	1.757812E-2
3.859492E-1	2.031250E-2
4.329609E-1	2.304687E-2
4.811055E-1	2.539062E-2
5.303828E-1	2.773437E-2
5.762617E-1	3.007812E-2
6.193086E-1	3.203125E-2
6.606562E-1	3.398437E-2
7.014375E-1	3.593750E-2
7.405195E-1	3.789062E-2
7.779023E-1	3.945312E-2
8.113203E-1	4.140625E-2
8.390742E-1	4.257812E-2
8.617305E-1	4.375000E-2
8.787226E-1	4.453125E-2
8.923164E-1	4.492187E-2
9.030781E-1	4.531250E-2
9.110078E-1	4.570312E-2
9.178047E-1	4.570312E-2
9.217695E-1	4.609375E-2
9.251680E-1	4.609375E-2
9.263008E-1	4.570312E-2
9.234687E-1	4.570312E-2
9.149726E-1	4.531250E-2
9.008125E-1	4.414062E-2
8.815547E-1	4.335937E-2
8.577656E-1	4.218750E-2
8.283125E-1	4.023437E-2
7.971601E-1	3.867187E-2
7.648750E-1	3.710937E-2
7.286250E-1	3.515625E-2
6.878437E-1	3.320312E-2
6.425312E-1	3.085937E-2
5.960859E-1	2.851562E-2
5.490742E-1	2.578125E-2
5.020625E-1	2.343750E-2
4.493867E-1	2.070312E-2
3.910469E-1	1.796875E-2
3.293086E-1	1.484375E-2
2.681367E-1	1.171875E-2
2.103633E-1	8.984374E-3
1.520234E-1	6.249999E-3
9.708203E-2	3.515625E-3
4.553906E-2	7.812499E-4
-6.570311E-3	-1.953125E-3
-5.471484E-2	-5.078124E-3
-1.085234E-1	-9.374999E-3
-1.640312E-1	-1.367187E-2
-2.223711E-1	-1.757812E-2
-2.807109E-1	-2.148437E-2
-3.373516E-1	-2.460937E-2
-3.888945E-1	-2.734375E-2
-4.364726E-1	-3.007812E-2
-4.857500E-1	-3.242187E-2
-5.350273E-1	-3.476562E-2
-5.814726E-1	-3.710937E-2
-6.239531E-1	-3.906250E-2
-6.624687E-1	-4.101562E-2
-7.026836E-1	-4.257812E-2
-7.406328E-1	-4.453125E-2
-7.780156E-1	-4.648437E-2
-8.131328E-1	-4.804687E-2
-8.414531E-1	-4.960937E-2
-8.635430E-1	-5.039062E-2
-8.811015E-1	-5.156249E-2
-8.946953E-1	-5.195312E-2
-9.054570E-1	-5.234374E-2
-9.133867E-1	-5.273437E-2
-9.196172E-1	-5.273437E-2
-9.235820E-1	-5.312499E-2
-9.269805E-1	-5.312499E-2
-9.286797E-1	-5.312499E-2
-9.275469E-1	-5.273437E-2
-9.190508E-1	-5.234374E-2
-9.060234E-1	-5.156249E-2
-8.878984E-1	-5.039062E-2
-8.635430E-1	-4.921874E-2
-8.357890E-1	-4.765625E-2
-8.052031E-1	-4.570312E-2
-7.717851E-1	-4.414062E-2
-7.361015E-1	-4.218750E-2
-6.975859E-1	-4.023437E-2
-6.539726E-1	-3.828125E-2
-6.069609E-1	-3.593750E-2
-5.588164E-1	-3.359375E-2
-5.106719E-1	-3.125000E-2
-4.585625E-1	-2.851562E-2
-3.996562E-1	-2.539062E-2
-3.401836E-1	-2.265625E-2
-2.790117E-1	-1.953125E-2
-2.178398E-1	-1.640625E-2
-1.600664E-1	-1.328125E-2
-1.051250E-1	-1.093750E-2
-5.244922E-2	-8.203124E-3
2.265642E-4	-5.468749E-3
4.780469E-2	-1.953125E-3
9.934766E-2	2.343750E-3
1.554219E-1	7.031249E-3
2.143281E-1	1.093750E-2
2.721016E-1	1.406250E-2
3.293086E-1	1.718750E-2
3.808516E-1	2.031250E-2
4.284297E-1	2.265625E-2
4.765742E-1	2.500000E-2
5.258516E-1	2.734375E-2
5.717305E-1	2.968750E-2
6.142109E-1	3.203125E-2
6.549922E-1	3.359375E-2
6.963398E-1	3.593750E-2
7.365547E-1	3.750000E-2
7.739375E-1	3.945312E-2
8.073555E-1	4.101562E-2
8.368086E-1	4.257812E-2
