X (Volt)	Y (Volt)
7.875000E-2	7.812499E-4
1.273828E-1	5.078124E-3
1.795313E-1	9.374999E-3
2.316797E-1	1.250000E-2
2.814844E-1	1.562500E-2
3.283594E-1	1.835937E-2
3.728907E-1	2.070312E-2
4.174219E-1	2.304687E-2
4.631251E-1	2.539062E-2
5.064844E-1	2.734375E-2
5.451563E-1	2.929687E-2
5.814845E-1	3.125000E-2
6.189845E-1	3.281250E-2
6.547267E-1	3.476562E-2
6.875392E-1	3.632812E-2
7.185939E-1	3.750000E-2
7.437892E-1	3.867187E-2
7.625392E-1	3.984375E-2
7.771876E-1	4.023437E-2
7.894923E-1	4.062500E-2
7.988673E-1	4.101562E-2
8.058986E-1	4.140625E-2
8.105861E-1	4.140625E-2
8.141017E-1	4.179687E-2
8.170314E-1	4.179687E-2
8.187892E-1	4.140625E-2
8.176173E-1	4.140625E-2
8.123439E-1	4.101562E-2
8.000392E-1	4.023437E-2
7.836329E-1	3.945312E-2
7.619532E-1	3.828125E-2
7.367579E-1	3.710937E-2
7.086329E-1	3.554687E-2
6.793360E-1	3.398437E-2
6.465235E-1	3.242187E-2
6.113673E-1	3.046875E-2
5.732813E-1	2.851562E-2
5.357813E-1	2.656250E-2
4.953516E-1	2.460937E-2
4.531641E-1	2.226562E-2
4.074610E-1	2.031250E-2
3.547266E-1	1.757812E-2
3.002344E-1	1.484375E-2
2.469141E-1	1.210937E-2
1.941797E-1	9.765624E-3
1.432031E-1	7.031249E-3
9.574219E-2	4.687500E-3
4.945312E-2	1.953125E-3
2.578109E-3	-3.906250E-4
-3.960940E-2	-3.515625E-3
-8.531253E-2	-7.421874E-3
-1.351172E-1	-1.132812E-2
-1.866797E-1	-1.523437E-2
-2.388282E-1	-1.914062E-2
-2.898048E-1	-2.226562E-2
-3.366798E-1	-2.500000E-2
-3.812110E-1	-2.734375E-2
-4.245704E-1	-2.968750E-2
-4.708595E-1	-3.203125E-2
-5.124610E-1	-3.437500E-2
-5.517189E-1	-3.593750E-2
-5.892189E-1	-3.789062E-2
-6.255470E-1	-3.945312E-2
-6.612892E-1	-4.101562E-2
-6.929298E-1	-4.257812E-2
-7.216408E-1	-4.375000E-2
-7.468361E-1	-4.492187E-2
-7.644142E-1	-4.570312E-2
-7.790626E-1	-4.648437E-2
-7.907814E-1	-4.687500E-2
-8.007423E-1	-4.726562E-2
-8.083595E-1	-4.765625E-2
-8.130470E-1	-4.765625E-2
-8.165627E-1	-4.804687E-2
-8.194923E-1	-4.804687E-2
-8.212502E-1	-4.804687E-2
-8.206642E-1	-4.765625E-2
-8.142189E-1	-4.726562E-2
-8.036720E-1	-4.687500E-2
-7.860939E-1	-4.570312E-2
-7.644142E-1	-4.453125E-2
-7.403908E-1	-4.335937E-2
-7.134376E-1	-4.179687E-2
-6.835548E-1	-4.062500E-2
-6.525001E-1	-3.906250E-2
-6.161720E-1	-3.710937E-2
-5.775001E-1	-3.554687E-2
-5.370704E-1	-3.320312E-2
-4.966407E-1	-3.125000E-2
-4.556251E-1	-2.929687E-2
-4.093360E-1	-2.695312E-2
-3.595313E-1	-2.421875E-2
-3.062110E-1	-2.187500E-2
-2.517188E-1	-1.914062E-2
-1.983985E-1	-1.640625E-2
-1.474219E-1	-1.367187E-2
-9.937503E-2	-1.132812E-2
-5.191409E-2	-8.984374E-3
-5.625018E-3	-6.249999E-3
3.539061E-2	-3.125000E-3
7.875000E-2	7.812499E-4
1.273828E-1	5.078124E-3
1.789453E-1	9.374999E-3
2.310938E-1	1.250000E-2
2.808985E-1	1.562500E-2
3.283594E-1	1.835937E-2
3.728907E-1	2.070312E-2
4.180079E-1	2.265625E-2
4.637110E-1	2.500000E-2
5.070704E-1	2.734375E-2
5.457423E-1	2.929687E-2
5.820704E-1	3.125000E-2
6.189845E-1	3.281250E-2
6.535548E-1	3.437500E-2
6.875392E-1	3.593750E-2
7.180079E-1	3.750000E-2
7.437892E-1	3.867187E-2
7.625392E-1	3.945312E-2
7.766017E-1	4.023437E-2
7.889064E-1	4.062500E-2
7.982814E-1	4.101562E-2
8.053126E-1	4.140625E-2
8.105861E-1	4.140625E-2
8.141017E-1	4.140625E-2
8.170314E-1	4.140625E-2
8.187892E-1	4.140625E-2
8.176173E-1	4.140625E-2
8.111720E-1	4.101562E-2
8.000392E-1	4.023437E-2
7.830470E-1	3.945312E-2
7.613673E-1	3.828125E-2
7.373439E-1	3.671875E-2
7.086329E-1	3.554687E-2
6.793360E-1	3.398437E-2
6.465235E-1	3.242187E-2
6.113673E-1	3.046875E-2
5.732813E-1	2.851562E-2
5.351954E-1	2.656250E-2
4.947657E-1	2.421875E-2
4.531641E-1	2.226562E-2
4.068751E-1	1.992187E-2
3.553125E-1	1.718750E-2
3.002344E-1	1.484375E-2
2.475000E-1	1.210937E-2
1.959375E-1	9.765624E-3
1.443750E-1	7.031249E-3
9.574219E-2	4.687500E-3
4.886718E-2	1.953125E-3
2.578109E-3	-7.812499E-4
-3.960940E-2	-3.515625E-3
-8.472659E-2	-7.421874E-3
-1.339454E-1	-1.132812E-2
-1.849219E-1	-1.523437E-2
-2.376563E-1	-1.914062E-2
-2.886329E-1	-2.226562E-2
-3.366798E-1	-2.500000E-2
-3.800391E-1	-2.734375E-2
-4.233985E-1	-2.968750E-2
-4.691017E-1	-3.203125E-2
-5.118751E-1	-3.437500E-2
-5.505470E-1	-3.593750E-2
-5.886329E-1	-3.789062E-2
-6.249611E-1	-3.945312E-2
-6.601173E-1	-4.101562E-2
-6.917579E-1	-4.257812E-2
-7.222267E-1	-4.375000E-2
-7.456642E-1	-4.531250E-2
-7.650001E-1	-4.609375E-2
-7.790626E-1	-4.687500E-2
-7.913673E-1	-4.726562E-2
-8.007423E-1	-4.726562E-2
-8.077736E-1	-4.765625E-2
-8.124611E-1	-4.765625E-2
-8.165627E-1	-4.804687E-2
-8.189064E-1	-4.804687E-2
-8.212502E-1	-4.804687E-2
-8.200783E-1	-4.765625E-2
-8.142189E-1	-4.765625E-2
-8.030861E-1	-4.687500E-2
-7.866798E-1	-4.609375E-2
-7.655861E-1	-4.492187E-2
-7.415626E-1	-4.335937E-2
-7.140236E-1	-4.218750E-2
-6.847267E-1	-4.062500E-2
-6.536720E-1	-3.906250E-2
-6.179298E-1	-3.710937E-2
-5.792579E-1	-3.554687E-2
-5.376564E-1	-3.320312E-2
-4.972267E-1	-3.125000E-2
-4.550392E-1	-2.929687E-2
-4.087501E-1	-2.695312E-2
-3.589454E-1	-2.421875E-2
-3.056251E-1	-2.187500E-2
-2.523047E-1	-1.914062E-2
-1.989844E-1	-1.601562E-2
-1.480079E-1	-1.367187E-2
-9.996097E-2	-1.132812E-2
-5.191409E-2	-8.984374E-3
-5.625018E-3	-6.249999E-3
3.421874E-2	-3.125000E-3
7.699218E-2	7.812499E-4
1.256250E-1	5.078124E-3
1.771875E-1	9.374999E-3
2.299219E-1	1.250000E-2
2.803125E-1	1.562500E-2
3.271875E-1	1.835937E-2
3.711329E-1	2.070312E-2
4.168360E-1	2.304687E-2
4.619532E-1	2.500000E-2
5.053126E-1	2.734375E-2
5.433985E-1	2.929687E-2
5.803126E-1	3.125000E-2
6.172267E-1	3.281250E-2
6.529688E-1	3.437500E-2
6.863673E-1	3.632812E-2
7.162501E-1	3.750000E-2
7.414454E-1	3.867187E-2
