X (Volt)	Y (Volt)
-3.545703E-2	-6.640624E-3
1.608594E-2	-3.906250E-3
6.423047E-2	-3.906250E-4
1.169062E-1	3.906250E-3
1.735469E-1	7.812499E-3
2.307539E-1	1.132812E-2
2.873945E-1	1.445312E-2
3.440352E-1	1.718750E-2
3.950117E-1	1.992187E-2
4.420234E-1	2.226562E-2
4.924336E-1	2.460937E-2
5.411445E-1	2.734375E-2
5.870234E-1	2.968750E-2
6.283711E-1	3.164062E-2
6.685859E-1	3.359375E-2
7.093672E-1	3.515625E-2
7.478828E-1	3.710937E-2
7.841328E-1	3.867187E-2
8.164180E-1	4.023437E-2
8.436055E-1	4.140625E-2
8.634297E-1	4.257812E-2
8.792890E-1	4.335937E-2
8.917500E-1	4.375000E-2
9.030781E-1	4.414062E-2
9.104414E-1	4.453125E-2
9.161055E-1	4.453125E-2
9.200703E-1	4.453125E-2
9.223359E-1	4.453125E-2
9.240351E-1	4.453125E-2
9.212031E-1	4.453125E-2
9.127070E-1	4.375000E-2
8.968476E-1	4.296875E-2
8.758906E-1	4.179687E-2
8.498359E-1	4.023437E-2
8.192500E-1	3.867187E-2
7.880976E-1	3.710937E-2
7.535469E-1	3.515625E-2
7.144648E-1	3.320312E-2
6.725508E-1	3.125000E-2
6.283711E-1	2.890625E-2
5.830586E-1	2.656250E-2
5.377461E-1	2.421875E-2
4.907344E-1	2.187500E-2
4.363594E-1	1.914062E-2
3.751875E-1	1.601562E-2
3.123164E-1	1.328125E-2
2.522773E-1	1.015625E-2
1.945039E-1	7.421874E-3
1.372969E-1	4.687500E-3
8.348828E-2	1.953125E-3
3.137891E-2	-7.812499E-4
-2.016406E-2	-3.515625E-3
-7.057422E-2	-6.640624E-3
-1.243828E-1	-1.054687E-2
-1.804570E-1	-1.445312E-2
-2.387969E-1	-1.796875E-2
-2.960039E-1	-2.148437E-2
-3.515117E-1	-2.421875E-2
-4.019219E-1	-2.695312E-2
-4.506328E-1	-2.968750E-2
-4.993437E-1	-3.203125E-2
-5.497539E-1	-3.437500E-2
-5.945000E-1	-3.632812E-2
-6.352812E-1	-3.828125E-2
-6.732305E-1	-3.984375E-2
-7.128789E-1	-4.179687E-2
-7.513945E-1	-4.375000E-2
-7.876445E-1	-4.531250E-2
-8.204961E-1	-4.687500E-2
-8.471172E-1	-4.804687E-2
-8.669414E-1	-4.921874E-2
-8.816680E-1	-4.999999E-2
-8.935625E-1	-5.039062E-2
-9.037578E-1	-5.078124E-2
-9.116875E-1	-5.117187E-2
-9.173515E-1	-5.117187E-2
-9.218828E-1	-5.117187E-2
-9.247148E-1	-5.117187E-2
-9.264140E-1	-5.117187E-2
-9.241484E-1	-5.078124E-2
-9.162187E-1	-5.039062E-2
-9.003594E-1	-4.960937E-2
-8.799687E-1	-4.843750E-2
