X (Volt)	Y (Volt)
1.349218E-2	1.367188E-3
1.460934E-3	4.882813E-4
-9.281254E-3	-2.929688E-4
-1.873438E-2	-1.464844E-3
-3.119532E-2	-2.832031E-3
-4.494532E-2	-4.296875E-3
-5.826563E-2	-5.566407E-3
-7.201563E-2	-6.738282E-3
-8.404688E-2	-7.812500E-3
-9.564845E-2	-8.691407E-3
-1.076797E-1	-9.570313E-3
-1.192813E-1	-1.035156E-2
-1.308828E-1	-1.103516E-2
-1.403359E-1	-1.171875E-2
-1.497891E-1	-1.240234E-2
-1.596719E-1	-1.298828E-2
-1.678359E-1	-1.357422E-2
-1.764297E-1	-1.406250E-2
-1.845938E-1	-1.464844E-2
-1.910391E-1	-1.503906E-2
-1.966250E-1	-1.533203E-2
-2.004922E-1	-1.552734E-2
-2.039297E-1	-1.572266E-2
-2.065078E-1	-1.591797E-2
-2.082266E-1	-1.601563E-2
-2.095156E-1	-1.611328E-2
-2.103750E-1	-1.611328E-2
-2.120938E-1	-1.611328E-2
-2.125235E-1	-1.611328E-2
-2.125235E-1	-1.601563E-2
-2.112344E-1	-1.601563E-2
-2.090860E-1	-1.572266E-2
-2.047891E-1	-1.542969E-2
-1.987735E-1	-1.513672E-2
-1.931875E-1	-1.464844E-2
-1.858828E-1	-1.416016E-2
-1.781484E-1	-1.357422E-2
-1.712734E-1	-1.298828E-2
-1.618203E-1	-1.240234E-2
-1.523672E-1	-1.171875E-2
-1.416250E-1	-1.103516E-2
-1.313125E-1	-1.025391E-2
-1.201406E-1	-9.570313E-3
-1.089688E-1	-8.789063E-3
-9.607813E-2	-7.910157E-3
-8.318751E-2	-7.031250E-3
-6.986719E-2	-6.152344E-3
-5.697657E-2	-5.175782E-3
-4.365626E-2	-4.296875E-3
-3.033594E-2	-3.417969E-3
-1.830469E-2	-2.636719E-3
-5.414066E-3	-1.757813E-3
4.468747E-3	-7.812500E-4
1.435156E-2	3.906250E-4
2.638281E-2	1.953125E-3
3.970312E-2	3.417969E-3
5.259375E-2	4.785157E-3
6.548437E-2	5.957032E-3
7.708594E-2	6.933594E-3
8.825781E-2	7.714844E-3
9.985938E-2	8.496094E-3
1.123203E-1	9.179688E-3
1.226328E-1	9.960938E-3
1.320859E-1	1.064453E-2
1.415391E-1	1.123047E-2
1.509922E-1	1.181641E-2
1.600156E-1	1.240234E-2
1.681797E-1	1.289063E-2
1.759141E-1	1.337891E-2
1.823594E-1	1.376953E-2
1.866563E-1	1.406250E-2
1.909531E-1	1.425781E-2
1.943906E-1	1.445313E-2
1.961094E-1	1.455078E-2
1.982578E-1	1.464844E-2
1.995469E-1	1.474609E-2
2.004063E-1	1.474609E-2
2.016953E-1	1.474609E-2
2.021250E-1	1.474609E-2
2.016953E-1	1.474609E-2
2.004063E-1	1.464844E-2
1.978281E-1	1.445313E-2
1.943906E-1	1.416016E-2
1.892344E-1	1.376953E-2
1.836484E-1	1.328125E-2
1.767734E-1	1.279297E-2
1.698984E-1	1.230469E-2
1.621641E-1	1.171875E-2
1.531406E-1	1.123047E-2
1.436875E-1	1.054688E-2
1.338047E-1	9.863282E-3
1.239219E-1	9.082032E-3
1.127500E-1	8.398438E-3
1.011484E-1	7.519532E-3
8.868750E-2	6.640625E-3
7.536719E-2	5.761719E-3
6.247656E-2	4.785157E-3
5.044531E-2	3.906250E-3
3.755469E-2	2.929688E-3
2.509375E-2	2.148438E-3
1.220312E-2	1.269531E-3
1.031247E-3	4.882813E-4
-1.014063E-2	-4.882813E-4
-2.002344E-2	-1.562500E-3
-3.162500E-2	-2.929688E-3
-4.580469E-2	-4.394532E-3
-5.998438E-2	-5.761719E-3
-7.287501E-2	-6.933594E-3
-8.490626E-2	-7.910157E-3
-9.650782E-2	-8.789063E-3
-1.085391E-1	-9.570313E-3
-1.205703E-1	-1.035156E-2
-1.308828E-1	-1.113281E-2
-1.399063E-1	-1.181641E-2
-1.497891E-1	-1.240234E-2
-1.592422E-1	-1.308594E-2
-1.682656E-1	-1.367188E-2
-1.768594E-1	-1.416016E-2
-1.850234E-1	-1.464844E-2
-1.914688E-1	-1.503906E-2
-1.961953E-1	-1.533203E-2
-2.004922E-1	-1.562500E-2
-2.035000E-1	-1.572266E-2
-2.060781E-1	-1.591797E-2
-2.077969E-1	-1.601563E-2
-2.095156E-1	-1.601563E-2
-2.103750E-1	-1.601563E-2
-2.112344E-1	-1.601563E-2
-2.120938E-1	-1.611328E-2
-2.116641E-1	-1.601563E-2
-2.103750E-1	-1.591797E-2
-2.077969E-1	-1.572266E-2
-2.039297E-1	-1.533203E-2
-1.979141E-1	-1.503906E-2
-1.923281E-1	-1.455078E-2
-1.854531E-1	-1.406250E-2
-1.777188E-1	-1.357422E-2
-1.699844E-1	-1.298828E-2
-1.613906E-1	-1.240234E-2
-1.515078E-1	-1.171875E-2
-1.411953E-1	-1.103516E-2
-1.313125E-1	-1.025391E-2
-1.205703E-1	-9.570313E-3
-1.081094E-1	-8.789063E-3
-9.521876E-2	-7.910157E-3
-8.189844E-2	-7.031250E-3
-6.900782E-2	-6.054688E-3
-5.611719E-2	-5.175782E-3
-4.279688E-2	-4.296875E-3
-3.033594E-2	-3.417969E-3
-1.830469E-2	-2.539063E-3
-6.273441E-3	-1.757813E-3
3.609372E-3	-7.812500E-4
1.349218E-2	4.882813E-4
2.638281E-2	1.953125E-3
3.970312E-2	3.515625E-3
5.345312E-2	4.785157E-3
6.591406E-2	5.957032E-3
7.751563E-2	6.933594E-3
8.868750E-2	7.714844E-3
1.002891E-1	8.496094E-3
1.118906E-1	9.277344E-3
1.226328E-1	1.005859E-2
1.325156E-1	1.064453E-2
1.419688E-1	1.123047E-2
1.522813E-1	1.181641E-2
1.604453E-1	1.240234E-2
1.690391E-1	1.298828E-2
1.763438E-1	1.347656E-2
1.827891E-1	1.386719E-2
1.879453E-1	1.416016E-2
1.913828E-1	1.435547E-2
1.943906E-1	1.455078E-2
1.965391E-1	1.464844E-2
1.982578E-1	1.474609E-2
1.999766E-1	1.474609E-2
2.012656E-1	1.474609E-2
2.021250E-1	1.474609E-2
2.025547E-1	1.474609E-2
2.025547E-1	1.474609E-2
2.008359E-1	1.464844E-2
1.978281E-1	1.445313E-2
1.939609E-1	1.406250E-2
1.888047E-1	1.367188E-2
1.832188E-1	1.328125E-2
1.767734E-1	1.279297E-2
1.707578E-1	1.230469E-2
1.625938E-1	1.181641E-2
1.531406E-1	1.123047E-2
1.432578E-1	1.054688E-2
1.333750E-1	9.863282E-3
1.230625E-1	9.082032E-3
1.127500E-1	8.398438E-3
1.011484E-1	7.617188E-3
8.825781E-2	6.738282E-3
7.536719E-2	5.761719E-3
6.247656E-2	4.785157E-3
5.001562E-2	3.906250E-3
3.755469E-2	3.027344E-3
2.466406E-2	2.148438E-3
1.220312E-2	1.269531E-3
6.015592E-4	4.882813E-4
-1.057032E-2	-4.882813E-4
-2.002344E-2	-1.562500E-3
-3.248438E-2	-2.929688E-3
-4.666407E-2	-4.394532E-3
-5.998438E-2	-5.761719E-3
-7.244532E-2	-6.835938E-3
-8.490626E-2	-7.910157E-3
-9.693751E-2	-8.691407E-3
-1.089688E-1	-9.570313E-3
-1.210000E-1	-1.035156E-2
-1.313125E-1	-1.103516E-2
-1.407656E-1	-1.171875E-2
-1.502188E-1	-1.240234E-2
-1.592422E-1	-1.298828E-2
-1.682656E-1	-1.357422E-2
-1.768594E-1	-1.406250E-2
-1.841641E-1	-1.464844E-2
-1.906094E-1	-1.503906E-2
-1.961953E-1	-1.533203E-2
-1.996328E-1	-1.552734E-2
-2.030703E-1	-1.572266E-2
-2.060781E-1	-1.582031E-2
-2.069375E-1	-1.591797E-2
-2.082266E-1	-1.601563E-2
-2.099453E-1	-1.601563E-2
-2.103750E-1	-1.601563E-2
-2.108047E-1	-1.591797E-2
-2.103750E-1	-1.591797E-2
-2.095156E-1	-1.582031E-2
-2.073672E-1	-1.562500E-2
-2.030703E-1	-1.533203E-2
-1.970547E-1	-1.494141E-2
-1.914688E-1	-1.445313E-2
-1.850234E-1	-1.396484E-2
-1.772891E-1	-1.347656E-2
-1.695547E-1	-1.289063E-2
-1.605313E-1	-1.230469E-2
-1.506484E-1	-1.162109E-2
-1.403359E-1	-1.093750E-2
-1.300234E-1	-1.015625E-2
-1.192813E-1	-9.375001E-3
-1.081094E-1	-8.691407E-3
-9.521876E-2	-7.812500E-3
-8.189844E-2	-6.835938E-3
-6.857813E-2	-5.957032E-3
-5.525782E-2	-4.980469E-3
-4.193751E-2	-4.101563E-3
-2.947657E-2	-3.320313E-3
-1.744532E-2	-2.441406E-3
-5.843754E-3	-1.562500E-3
4.898434E-3	-6.835938E-4
1.435156E-2	5.859375E-4
2.681250E-2	2.148438E-3
4.099219E-2	3.613281E-3
5.345312E-2	4.980469E-3
6.591406E-2	6.054688E-3
