X (Volt)	Y (Volt)
-1.665469E-1	-1.445313E-2
-1.755703E-1	-1.503906E-2
-1.828750E-1	-1.552734E-2
-1.893203E-1	-1.591797E-2
-1.949063E-1	-1.630859E-2
-1.987735E-1	-1.650391E-2
-2.017813E-1	-1.669922E-2
-2.043594E-1	-1.679688E-2
-2.065078E-1	-1.689453E-2
-2.077969E-1	-1.689453E-2
-2.090860E-1	-1.699219E-2
-2.095156E-1	-1.699219E-2
-2.103750E-1	-1.699219E-2
-2.103750E-1	-1.689453E-2
-2.095156E-1	-1.679688E-2
-2.073672E-1	-1.660156E-2
-2.039297E-1	-1.640625E-2
-2.000625E-1	-1.601563E-2
-1.940469E-1	-1.562500E-2
-1.880313E-1	-1.513672E-2
-1.802969E-1	-1.464844E-2
-1.721328E-1	-1.416016E-2
-1.635391E-1	-1.347656E-2
-1.536563E-1	-1.279297E-2
-1.424844E-1	-1.201172E-2
-1.330313E-1	-1.132813E-2
-1.227188E-1	-1.054688E-2
-1.115469E-1	-9.863282E-3
-9.951563E-2	-8.984376E-3
-8.619532E-2	-8.007813E-3
-7.287501E-2	-7.031250E-3
-5.955469E-2	-6.152344E-3
-4.580469E-2	-5.175782E-3
-3.291407E-2	-4.199219E-3
-2.088282E-2	-3.417969E-3
-8.851566E-3	-2.539063E-3
1.460934E-3	-1.562500E-3
1.091406E-2	-2.929688E-4
2.165625E-2	1.464844E-3
3.497656E-2	3.222656E-3
4.786719E-2	4.882813E-3
6.032812E-2	6.152344E-3
7.321875E-2	7.324219E-3
8.482031E-2	8.203126E-3
9.599219E-2	8.984376E-3
1.071641E-1	9.765626E-3
1.183359E-1	1.054688E-2
1.286484E-1	1.123047E-2
1.385313E-1	1.181641E-2
1.475547E-1	1.250000E-2
1.561484E-1	1.298828E-2
1.651719E-1	1.347656E-2
1.724766E-1	1.396484E-2
1.789219E-1	1.435547E-2
1.836484E-1	1.474609E-2
1.875156E-1	1.494141E-2
1.905234E-1	1.513672E-2
1.926719E-1	1.523438E-2
1.943906E-1	1.533203E-2
1.961094E-1	1.533203E-2
1.969688E-1	1.542969E-2
1.973984E-1	1.542969E-2
1.986875E-1	1.542969E-2
1.991172E-1	1.533203E-2
1.982578E-1	1.533203E-2
1.965391E-1	1.513672E-2
