X (Volt)	Y (Volt)
-1.314844E-2	5.468750E-3
-2.260157E-2	2.832031E-3
-3.205469E-2	-1.953125E-4
-4.322657E-2	-3.613281E-3
-5.568751E-2	-7.226563E-3
-7.072657E-2	-1.083984E-2
-8.490626E-2	-1.406250E-2
-9.822657E-2	-1.669922E-2
-1.128359E-1	-1.894531E-2
-1.252969E-1	-2.080078E-2
-1.364688E-1	-2.226563E-2
-1.463516E-1	-2.343750E-2
-1.579531E-1	-2.441406E-2
-1.678359E-1	-2.529297E-2
-1.768594E-1	-2.597656E-2
-1.854531E-1	-2.666016E-2
-1.923281E-1	-2.714844E-2
-1.983438E-1	-2.753906E-2
-2.026406E-1	-2.783203E-2
-2.065078E-1	-2.802735E-2
-2.090860E-1	-2.822266E-2
-2.112344E-1	-2.832031E-2
-2.129531E-1	-2.841797E-2
-2.138125E-1	-2.841797E-2
-2.151016E-1	-2.841797E-2
-2.159610E-1	-2.841797E-2
-2.159610E-1	-2.841797E-2
-2.142422E-1	-2.822266E-2
-2.116641E-1	-2.802735E-2
-2.082266E-1	-2.763672E-2
-2.030703E-1	-2.724610E-2
-1.970547E-1	-2.666016E-2
-1.901797E-1	-2.617188E-2
-1.828750E-1	-2.558594E-2
-1.751406E-1	-2.490235E-2
-1.665469E-1	-2.421875E-2
-1.562344E-1	-2.343750E-2
-1.454922E-1	-2.255860E-2
-1.347500E-1	-2.167969E-2
-1.248672E-1	-2.080078E-2
-1.128359E-1	-1.982422E-2
-9.994532E-2	-1.875000E-2
-8.662501E-2	-1.757813E-2
-7.330469E-2	-1.640625E-2
-5.998438E-2	-1.523438E-2
-4.709376E-2	-1.396484E-2
-3.506250E-2	-1.269531E-2
-2.303125E-2	-1.132813E-2
-1.185938E-2	-9.863282E-3
-2.835941E-3	-8.300782E-3
5.328122E-3	-6.054688E-3
1.392187E-2	-3.320313E-3
2.509375E-2	-1.953125E-4
3.583594E-2	3.417969E-3
4.786719E-2	7.226563E-3
6.161719E-2	1.083984E-2
7.536719E-2	1.396484E-2
8.954688E-2	1.640625E-2
1.032969E-1	1.826172E-2
1.157578E-1	1.992188E-2
1.277891E-1	2.119141E-2
1.381016E-1	2.226563E-2
1.488438E-1	2.304688E-2
1.587266E-1	2.382813E-2
1.681797E-1	2.451172E-2
1.759141E-1	2.509766E-2
1.827891E-1	2.558594E-2
1.888047E-1	2.587891E-2
1.926719E-1	2.617188E-2
1.956797E-1	2.636719E-2
1.991172E-1	2.656250E-2
2.004063E-1	2.656250E-2
2.016953E-1	2.666016E-2
2.034141E-1	2.666016E-2
2.042734E-1	2.666016E-2
2.047031E-1	2.666016E-2
